,ALL GBR,southern GBR,Capricorn channel,southern-central GBR,northern-central GBR,northern GBR,sl
1,0.0,0.0,0.0,0.0,0.0,0.0,-130.0
2,-76.977017892544,-66.62869396045599,-84.423667533681,14.316630129257007,-0.4322012807799993,-0.4390396611999847,-125.0
3,16.676333120217002,-44.51957423436002,4.4984205507699855,8.35064724758702,1.656320599259999,-0.24872591159999047,-120.0
4,117.90527275103199,-2.037255190439012,108.01675528954094,-2.89121146115005,2.8609329875700027,0.5334667961900124,-115.0
5,209.64976015146692,-2.1604242668609714,189.2646745556221,15.848125489506003,2.44083197290999,-6.133529565090058,-110.0
6,-90.23270574415696,7.901862412909978,-116.39226020783501,-171.33618383873198,2.1181649288399953,-3.451479932099957,-105.0
7,394.78802409520495,13.103588006443012,364.835422230678,225.48136208770399,1.5108836833300003,0.4555622237999515,-100.0
8,113.760353959154,-14.825106293395997,23.287541796536935,98.80278065417002,1.2437585857299993,0.959658323800042,-95.0
9,443.7974853304599,0.28744923801399835,298.1866148631098,161.82124082082206,8.789986172310037,-2.418382146400006,-90.0
10,654.7560111456629,1.0480177374589914,341.57425661540117,305.26179243094293,24.06774370536995,-1.2779080359700146,-85.0
11,1323.2917717989715,10.509642350674014,290.80262082837174,1096.6461724564117,56.499408262180026,-10.821317224029947,-80.0
12,2812.4952789995523,11.210405742103987,613.0463576655891,2164.0777734860235,203.54475515340997,18.06118832980996,-75.0
13,3492.0469931220787,49.02487644105799,1300.9216718394518,2156.6133631705798,362.07885369498,2.240534232290017,-70.0
14,3021.5237950455235,252.65916416196498,1208.1824525386205,2231.867156001904,249.45539909311987,25.01647829606999,-65.0
15,2406.940575779109,74.69653873672297,1553.2041800410695,1412.9255511765289,236.52286489216004,61.88631035104997,-60.0
16,2060.95683407553,209.78080842898305,807.8906793913168,1513.8198202798426,232.10845649001982,90.86473277883997,-55.0
17,2806.2179049249685,630.3452140528352,790.4769289583728,1190.0982641394096,484.97443892721026,426.05564953824114,-50.0
18,2144.098412379711,106.18458585483384,-258.30162608610624,-868.1370075205359,942.7402128229801,1246.5387667313662,-45.0
19,6545.5842346225745,678.842307849104,775.1148996444032,28.04567376852856,886.6391906355398,3842.4883812044854,-40.0
20,8162.840217870904,22.16638013088999,214.08796860935843,351.1961785916303,454.74458280893026,4740.9590648515405,-35.0
21,4956.850945386945,62.10982719671108,-181.3840597872413,-324.5632190353265,80.28002855563011,2372.8253996172607,-30.0
22,-1078.5735458804372,-295.79842371495306,232.66512077383624,-154.81967096795256,-50.64418636113032,-419.89087700824166,-25.0
23,-7952.117296794528,-700.072143339662,-370.606082081512,-571.8567459454162,-358.5063727701801,-5623.8814973004855,-20.0
24,-5342.678165355814,-258.6978898500022,-847.2022513912249,-1199.4996411237537,-267.2284429443495,-2409.0686291273473,-15.0
25,-4343.025041419312,-71.43794214498297,-1319.3370404561197,-1956.9381795506238,-84.04651411342036,-854.1893039425083,-10.0
26,-4594.064358415854,109.62590161836997,-1037.5187541519463,-1960.7416804498544,-556.1509973673399,-1018.468251300365,-5.0
27,-10801.497487032346,702.9163965642736,-1864.6377363508986,-3433.298721382639,-2552.05070287246,-1923.212599195499,0.0
